"","Cow","TRT","day","sday","FOO","Egroup","AgeatEnroll","MotionIndex","Steps","LyingTime","LyingBouts","StandingTime"
"111",38,"BO",3,2,"MAD",2,22.38,765,108,13.2919444444444,11,2.20805555555556
"112",39,"LIDO",1,2,"MAD",2,14.95,1536,156,23.0272222222222,19,0.972777777777778
"113",39,"LIDO",2,2,"MAD",2,14.95,1616,246,21.3947222222222,29,2.60527777777778
"114",39,"LIDO",3,2,"MAD",2,14.95,777,118,14.1247222222222,21,1.87527777777778
"115",40,"LIDO",1,2,"MAD",2,30.38,2146,353,20.4419444444444,22,3.55805555555556
"116",40,"LIDO",2,2,"MAD",2,30.38,1638,274,19.4163888888889,25,4.58361111111111
"117",40,"LIDO",3,2,"MAD",2,30.38,706,122,13.5088888888889,10,2.74111111111111
"118",41,"BO",1,2,"MAD",2,18.98,2040,211,22.5566666666667,28,1.44333333333333
"119",41,"BO",2,2,"MAD",2,18.98,1233,176,20.8625,27,3.1375
"120",41,"BO",3,2,"MAD",2,18.98,987,169,12.6402777777778,15,2.60972222222222
"121",42,"B+N",1,2,"MAD",2,22.02,1018,84,22.6966666666667,10,1.30333333333333
"122",42,"B+N",2,2,"MAD",2,22.02,1448,215,20.2005555555556,23,3.79944444444444
"123",42,"B+N",3,2,"MAD",2,22.02,636,88,14.3219444444444,16,1.67805555555556
"124",43,"B+N",1,2,"CAD",2,21.43,1574,202,21.4969444444444,17,2.50305555555556
"125",43,"B+N",2,2,"CAD",2,21.43,1745,264,19.0727777777778,14,4.92722222222222
"126",43,"B+N",3,2,"CAD",2,21.43,652,89,14.2216666666667,10,2.02833333333333
"127",44,"BO",1,2,"MAD",2,24.6,1859,229,20.4775,15,3.5225
"128",44,"BO",2,2,"MAD",2,24.6,1338,202,19.1725,22,4.8275
"129",44,"BO",3,2,"MAD",2,24.6,596,80,13.0555555555556,14,2.69444444444444
"130",45,"LIDO",1,2,"MAD",2,24.8,2320,366,21.4861111111111,27,2.51388888888889
"131",45,"LIDO",2,2,"MAD",2,24.8,2713,469,20.9983333333333,30,3.00166666666667
"132",45,"LIDO",3,2,"MAD",2,24.8,974,149,10.2836111111111,26,5.71638888888889
"133",46,"LIDO",1,2,"MAD",2,15.1,1674,243,21.4491666666667,13,2.55083333333333
"134",46,"LIDO",2,2,"MAD",2,15.1,1865,319,19.4322222222222,21,4.56777777777778
"135",46,"LIDO",3,2,"MAD",2,15.1,1253,222,12.9127777777778,16,2.83722222222222
"136",47,"BO",1,2,"MAD",2,22.38,1135,152,19.5161111111111,28,4.48388888888889
"137",47,"BO",2,2,"MAD",2,22.38,1643,230,18.6658333333333,29,5.33416666666667
"138",47,"BO",3,2,"MAD",2,22.38,582,57,12.8863888888889,8,0.863611111111111
"139",48,"B+N",1,2,"MAD",2,22.43,1459,216,21.2172222222222,20,2.78277777777778
"140",48,"B+N",2,2,"MAD",2,22.43,1622,282,18.7344444444444,26,5.26555555555556
"141",48,"B+N",3,2,"MAD",2,22.43,820,148,12.8880555555556,15,2.86194444444444
"142",49,"LIDO",1,2,"CAD",2,29.03,2590,321,21.5969444444444,20,2.40305555555556
"143",49,"LIDO",2,2,"CAD",2,29.03,2134,335,20.6633333333333,27,3.33666666666667
"144",49,"LIDO",3,2,"CAD",2,29.03,1333,203,12.7086111111111,18,3.04138888888889
"145",50,"B+N",1,2,"MAD",2,38.2,2214,300,20.6119444444444,22,3.38805555555556
"146",50,"B+N",2,2,"MAD",2,38.2,961,129,20.27,20,3.73
"147",50,"B+N",3,2,"MAD",2,38.2,872,143,12.5788888888889,19,3.17111111111111
"148",51,"BO",1,2,"CAD",2,18.87,2059,303,20.8727777777778,29,3.12722222222222
"149",51,"BO",2,2,"CAD",2,18.87,3257,515,20.3019444444444,28,3.69805555555556
"150",51,"BO",3,2,"CAD",2,18.87,701,112,14.4580555555556,11,1.29194444444444
"151",52,"BO",1,2,"MAD",2,15.37,1798,209,22.3119444444444,18,1.68805555555556
"152",52,"BO",2,2,"MAD",2,15.37,1023,162,21.2977777777778,11,2.70222222222222
"153",52,"BO",3,2,"MAD",2,15.37,4787,903,12.5177777777778,9,3.23222222222222
"154",53,"B+N",1,2,"MAD",2,20.57,2378,430,20.4066666666667,23,3.59333333333333
"155",53,"B+N",2,2,"MAD",2,20.57,1924,339,19.1391666666667,28,4.86083333333333
"156",53,"B+N",3,2,"MAD",2,20.57,392,56,12.8077777777778,8,0.942222222222222
"157",54,"LIDO",1,2,"CAD",2,29.13,3107,480,19.9147222222222,36,4.08527777777778
"158",54,"LIDO",2,2,"CAD",2,29.13,2544,448,10.9419444444444,17,13.0580555555556
"159",54,"LIDO",3,2,"CAD",2,29.13,779,126,12.9397222222222,17,2.31027777777778
"160",55,"B+N",1,2,"CAD",2,34.37,1141,171,21.8661111111111,18,2.13388888888889
"161",55,"B+N",2,2,"CAD",2,34.37,621,100,21.7597222222222,13,2.24027777777778
"162",55,"B+N",3,2,"CAD",2,34.37,200,8,13.8658333333333,5,0.384166666666667
"163",56,"LIDO",1,2,"MAD",2,17.48,1950,237,21.7855555555556,45,2.21444444444444
"164",56,"LIDO",2,2,"MAD",2,17.48,981,158,21.0413888888889,21,2.95861111111111
"165",56,"LIDO",3,2,"MAD",2,17.48,773,133,14.0311111111111,13,1.71888888888889
"166",57,"BO",1,2,"MAD",2,38.02,2420,363,20.6630555555556,31,3.33694444444444
"167",57,"BO",2,2,"MAD",2,38.02,1364,189,15.1302777777778,28,8.86972222222222
"168",57,"BO",3,2,"MAD",2,38.02,969,150,12.8961111111111,19,2.60388888888889
"169",58,"LIDO",1,2,"CAD",2,28.4,2275,318,17.1947222222222,25,6.80527777777778
"170",58,"LIDO",2,2,"CAD",2,28.4,1985,322,18.3083333333333,25,5.69166666666667
"171",58,"LIDO",3,2,"CAD",2,28.4,747,93,11.3538888888889,18,4.14611111111111
"172",59,"BO",1,2,"CAD",2,20.17,2029,236,21.4775,16,2.5225
"173",59,"BO",2,2,"CAD",2,20.17,2393,345,18.7930555555556,30,5.20694444444444
"174",59,"BO",3,2,"CAD",2,20.17,753,107,13.0755555555556,16,2.42444444444444
"175",60,"B+N",1,2,"MAD",2,20.95,947,133,22.1433333333333,17,1.85666666666667
