"","Cow","TRT","hour","sday","MotionIndex","Steps","LyingTime","LyingBouts","StandingTime"
"273",13,"B+N",17,1,516,98,45.7833333333333,1,14.2166666666667
"274",13,"B+N",18,1,107,18,49.1,2,10.9
"275",13,"B+N",19,1,11,0,60,0,0
"276",13,"B+N",20,1,30,2,57.7166666666667,1,2.28333333333333
"277",13,"B+N",21,1,16,4,52.6833333333333,1,7.31666666666667
"278",13,"B+N",22,1,3,0,60,0,0
"279",13,"B+N",23,1,3,0,60,0,0
"280",13,"B+N",24,1,288,66,45.3166666666667,1,14.6833333333333
"281",13,"B+N",25,1,6,0,60,0,0
"282",13,"B+N",26,1,79,13,53.2166666666667,1,6.78333333333333
"283",13,"B+N",27,1,4,0,60,0,0
"284",13,"B+N",28,1,27,4,57.9,1,2.1
"285",13,"B+N",29,1,7,0,60,0,0
"286",13,"B+N",30,1,108,12,54.8833333333333,1,5.11666666666667
"287",13,"B+N",31,1,82,12,48.3166666666667,1,11.6833333333333
"288",13,"B+N",32,1,5,0,60,0,0
"289",13,"B+N",33,1,56,5,54.95,1,5.05
"290",13,"B+N",34,1,34,4,57.7,1,2.3
"291",13,"B+N",35,1,4,0,60,0,0
"292",13,"B+N",36,1,23,3,56.2666666666667,1,3.73333333333333
"293",13,"B+N",37,1,123,22,40.95,1,19.05
"294",13,"B+N",38,1,6,0,60,0,0
"295",13,"B+N",39,1,187,28,46.7833333333333,1,13.2166666666667
"296",13,"B+N",40,1,61,12,54.5333333333333,0,5.46666666666667
"297",13,"B+N",41,1,136,19,43.5666666666667,3,16.4333333333333
"298",13,"B+N",42,1,356,65,34.4,2,25.6
"299",13,"B+N",43,1,11,0,60,0,0
"300",13,"B+N",44,1,45,4,57.55,1,2.45
"301",13,"B+N",45,1,3,0,60,0,0
"302",13,"B+N",46,1,126,23,52.8166666666667,1,7.18333333333333
"303",13,"B+N",47,1,47,6,55.2666666666667,1,4.73333333333333
"304",13,"B+N",48,1,214,43,41.3166666666667,1,18.6833333333333
"305",13,"B+N",49,1,1,0,60,0,0
"306",13,"B+N",50,1,49,6,54.3333333333333,1,5.66666666666667
"307",13,"B+N",51,1,87,15,55.1833333333333,1,4.81666666666667
"308",13,"B+N",52,1,46,7,56.65,1,3.35
"309",13,"B+N",53,1,0,0,60,0,0
"310",13,"B+N",54,1,30,3,56.6166666666667,1,3.38333333333333
"311",13,"B+N",55,1,2,0,60,0,0
"312",13,"B+N",56,1,30,2,57.0833333333333,1,2.91666666666667
"313",13,"B+N",57,1,28,2,56.55,1,3.45
"314",13,"B+N",58,1,29,4,53.85,1,6.15
"315",13,"B+N",59,1,38,5,54.2333333333333,1,5.76666666666667
"316",13,"B+N",60,1,3,0,60,0,0
"317",13,"B+N",61,1,1,0,60,0,0
"318",13,"B+N",62,1,15,4,55.1833333333333,1,4.81666666666667
"319",13,"B+N",63,1,180,33,40.15,4,19.85
"320",13,"B+N",64,1,207,39,0.783333333333333,0,14.2166666666667
"321",14,"BO",1,1,200,37,51.7166666666667,0,8.28333333333333
"322",14,"BO",2,1,2,0,60,0,0
"323",14,"BO",3,1,0,0,60,0,0
"324",14,"BO",4,1,0,0,60,0,0
"325",14,"BO",5,1,0,0,60,0,0
"326",14,"BO",6,1,0,0,60,0,0
"327",14,"BO",7,1,0,0,60,0,0
"328",14,"BO",8,1,44,4,54.95,1,5.05
"329",14,"BO",9,1,4,0,60,0,0
"330",14,"BO",10,1,3,0,60,0,0
"331",14,"BO",11,1,21,2,47.5666666666667,1,12.4333333333333
"332",14,"BO",12,1,40,8,60,0,0
"333",14,"BO",13,1,44,2,48.4,1,11.6
"334",14,"BO",14,1,153,25,47.0833333333333,1,12.9166666666667
"335",14,"BO",15,1,49,8,51.2833333333333,1,8.71666666666667
"336",14,"BO",16,1,0,0,60,0,0
"337",14,"BO",17,1,786,160,15.5166666666667,3,44.4833333333333
"338",14,"BO",18,1,135,28,44.2166666666667,2,15.7833333333333
"339",14,"BO",19,1,51,11,52.5,1,7.5
"340",14,"BO",20,1,59,8,53.9,2,6.1
"341",14,"BO",21,1,105,18,50.2166666666667,2,9.78333333333333
"342",14,"BO",22,1,0,0,60,0,0
"343",14,"BO",23,1,100,23,33.9833333333333,2,26.0166666666667
"344",14,"BO",24,1,102,19,57.5166666666667,0,2.48333333333333
"345",14,"BO",25,1,2,0,60,0,0
"346",14,"BO",26,1,29,3,49.4,1,10.6
"347",14,"BO",27,1,1,0,60,0,0
"348",14,"BO",28,1,3,0,60,0,0
"349",14,"BO",29,1,74,12,47.1333333333333,1,12.8666666666667
"350",14,"BO",30,1,4,0,60,0,0
"351",14,"BO",31,1,59,7,55.6666666666667,1,4.33333333333333
"352",14,"BO",32,1,2,0,60,0,0
"353",14,"BO",33,1,41,4,53.0666666666667,1,6.93333333333333
"354",14,"BO",34,1,1,0,60,0,0
