,Cow,TRT,day,sday,MotionIndex,Steps,LyingTime,LyingBouts,StandingTime,rm?,rmfr
129,49,LIDO,3,2,1333,203,12.70861111,18,3.041388889,,
133,50,B+N,1,2,2214,300,20.61194444,22,3.388055556,,
134,50,B+N,2,2,961,129,20.27,20,3.73,,
135,50,B+N,3,2,872,143,12.57888889,19,3.171111111,,
136,51,BO,1,2,2059,303,20.87277778,29,3.127222222,,
137,51,BO,2,2,3257,515,20.30194444,28,3.698055556,,
138,51,BO,3,2,701,112,14.45805556,11,1.291944444,,
139,52,BO,1,2,1798,209,22.31194444,18,1.688055556,,
140,52,BO,2,2,1023,162,21.29777778,11,2.702222222,,
141,52,BO,3,2,4787,903,12.51777778,9,3.232222222,,
142,53,B+N,1,2,2378,430,20.40666667,23,3.593333333,,
143,53,B+N,2,2,1924,339,19.13916667,28,4.860833333,,
144,53,B+N,3,2,392,56,12.80777778,8,0.942222222,,
145,54,LIDO,1,2,3107,480,19.91472222,36,4.085277778,,
147,54,LIDO,3,2,779,126,12.93972222,17,2.310277778,,
148,55,B+N,1,2,1141,171,21.86611111,18,2.133888889,,
149,55,B+N,2,2,621,100,21.75972222,13,2.240277778,,
150,55,B+N,3,2,200,8,13.86583333,5,0.384166667,,
151,56,LIDO,1,2,1950,237,21.78555556,45,2.214444444,,
152,56,LIDO,2,2,981,158,21.04138889,21,2.958611111,,
153,56,LIDO,3,2,773,133,14.03111111,13,1.718888889,,
154,57,BO,1,2,2420,363,20.66305556,31,3.336944444,,
156,57,BO,3,2,969,150,12.89611111,19,2.603888889,,
158,58,LIDO,2,2,1985,322,18.30833333,25,5.691666667,,
159,58,LIDO,3,2,747,93,11.35388889,18,4.146111111,,
160,59,BO,1,2,2029,236,21.4775,16,2.5225,,
161,59,BO,2,2,2393,345,18.79305556,30,5.206944444,,
162,59,BO,3,2,753,107,13.07555556,16,2.424444444,,
166,60,B+N,1,2,947,133,22.14333333,17,1.856666667,,
167,60,B+N,2,2,926,137,20.10111111,22,3.898888889,,
168,60,B+N,3,2,453,68,12.68444444,13,2.815555556,,
169,61,BO,1,2,1710,313,21.55388889,16,2.446111111,,
170,61,BO,2,2,2282,409,20.02111111,23,3.978888889,,
171,61,BO,3,2,696,116,14.45972222,9,1.040277778,,
173,62,B+N,2,2,2743,384,15.88694444,29,8.113055556,,
174,62,B+N,3,2,724,83,13.41833333,11,1.831666667,,
175,63,LIDO,1,2,2119,250,21.38166667,25,2.618333333,,
176,63,LIDO,2,2,1632,255,19.41333333,26,4.586666667,,
177,63,LIDO,3,2,1015,164,12.85111111,15,2.398888889,,
180,64,LIDO,3,2,369,40,12.08416667,11,1.415833333,,
182,65,BO,2,3,1770,247,16.27888889,8,7.721111111,,
183,65,BO,3,3,710,86,14.38833333,5,2.861666667,,
184,66,B+N,1,3,1067,144,22.83472222,10,1.165277778,,
185,66,B+N,2,3,1041,167,20.68583333,19,3.314166667,,
186,66,B+N,3,3,623,104,14.60305556,15,2.396944444,,
187,67,B+N,1,3,1897,239,22.64166667,27,1.358333333,,
188,67,B+N,2,3,2468,412,20.30666667,23,3.693333333,,
189,67,B+N,3,3,1404,237,15.51861111,12,1.481388889,,
190,68,BO,1,3,1521,166,22.75972222,27,1.240277778,,
191,68,BO,2,3,888,119,21.66888889,22,2.331111111,,
192,68,BO,3,3,660,97,14.95138889,19,2.048611111,,
193,69,LIDO,1,3,1720,193,22.21222222,21,1.787777778,,
194,69,LIDO,2,3,1193,136,19.86333333,20,4.136666667,,
195,69,LIDO,3,3,904,92,15.24555556,16,1.754444444,,
199,70,LIDO,1,3,1074,116,21.99722222,9,2.002777778,,
200,70,LIDO,2,3,1056,165,18.75583333,13,5.244166667,,
201,70,LIDO,3,3,428,63,12.97111111,8,1.528888889,,
202,71,BO,1,3,2636,419,20.0175,28,3.9825,,
203,71,BO,2,3,1835,294,18.63611111,26,5.363888889,,
204,71,BO,3,3,591,77,15.14472222,12,1.605277778,,
205,72,B+N,1,3,2087,220,21.07666667,29,2.923333333,,
206,72,B+N,2,3,1981,322,16.06916667,28,7.930833333,,
207,72,B+N,3,3,992,158,13.98444444,17,2.765555556,,
208,73,LIDO,1,3,1575,228,20.76,13,3.24,,
209,73,LIDO,2,3,1129,187,21.13444444,9,2.865555556,,
210,73,LIDO,3,3,475,74,14.69277778,9,1.807222222,,
211,74,B+N,1,3,1017,85,21.78527778,21,2.214722222,,
212,74,B+N,2,3,1241,185,19.90555556,16,4.094444444,,
213,74,B+N,3,3,149,24,5.043333333,4,11.95666667,,
214,75,BO,1,3,1614,186,21.59722222,23,2.402777778,,
215,75,BO,2,3,1738,281,20.3,27,3.7,,
216,75,BO,3,3,633,95,14.88472222,16,1.615277778,,
217,76,LIDO,1,3,1741,194,20.09388889,28,3.906111111,,
218,76,LIDO,2,3,1238,170,17.72,18,6.28,,
219,76,LIDO,3,3,766,108,13.06972222,13,3.680277778,,
220,77,B+N,1,3,608,87,22.89527778,9,1.104722222,,
221,77,B+N,2,3,1008,170,21.20111111,21,2.798888889,,
222,77,B+N,3,3,526,89,15.29944444,14,1.450555556,,
224,78,BO,2,3,662,79,21.20361111,15,2.796388889,,
225,78,BO,3,3,309,36,13.68694444,9,1.563055556,,
226,79,BO,1,3,2360,168,22.58305556,37,1.416944444,,
227,79,BO,2,3,1091,129,21.48833333,20,2.511666667,,
228,79,BO,3,3,571,92,15.05777778,13,1.442222222,,
232,80,B+N,1,3,1055,142,22.22,14,1.78,,
233,80,B+N,2,3,827,85,22.37083333,14,1.629166667,,
234,80,B+N,3,3,366,49,13.54055556,6,1.459444444,,
235,81,LIDO,1,3,1390,170,21.69083333,18,2.309166667,,
236,81,LIDO,2,3,969,119,21.11555556,22,2.884444444,,
237,81,LIDO,3,3,349,49,14.92805556,8,1.071944444,,
238,82,BO,1,3,4455,523,22.91,29,1.09,,
239,82,BO,2,3,1786,267,21.41111111,18,2.588888889,,
240,82,BO,3,3,801,128,14.92944444,12,1.570555556,,
241,83,B+N,1,3,2555,368,21.64138889,30,2.358611111,,
243,83,B+N,3,3,616,108,14.02722222,18,2.222777778,,
244,84,LIDO,1,3,2147,314,21.29833333,26,2.701666667,,
245,84,LIDO,2,3,1187,205,20.24055556,22,3.759444444,,
246,84,LIDO,3,3,621,96,14.04472222,15,2.455277778,,
247,85,B+N,1,3,1541,212,20.1225,30,3.8775,,
248,85,B+N,2,3,1260,183,20.77194444,21,3.228055556,,
249,85,B+N,3,3,588,96,14.19027778,15,2.559722222,,
250,86,LIDO,1,3,2826,376,21.98194444,25,2.018055556,,
251,86,LIDO,2,3,1849,316,19.86555556,25,4.134444444,,
252,86,LIDO,3,3,1146,212,14.65916667,14,2.090833333,,
253,87,BO,1,3,3211,282,21.46972222,29,2.530277778,,
254,87,BO,2,3,2191,319,20.82861111,18,3.171388889,,
255,87,BO,3,3,986,161,14.23694444,14,2.263055556,,
