"","Study ID","CalfID","TRT","FOO","Egroup","AgeatEnroll","BWKg","Btime","Bdate","Edate","Etime","TP","HbpremgdL","HbpostmgdL","change","Date_PNEU1","Remark_PNEU1","Date_PNEU2","Remark_PNEU2","Date_PNEU3","Remark_PNEU3","Date_SCOURS1","Remark_SCOURS1","Date_SCOURS2","Remark_SCOURS2","Date_BLOAT1","Remark_BLOAT1","Date_BLOAT2","Remark_BLOAT2","Date_DIED1","Remark_DIED1","BIRTH","ENROLL","dfeP1","dbtwP12","dbtwP23","dfeP2","dfeP3","dfeD1","dfeD2","dbtwD12","dfeDIED","PN1a","PN2","PN3","DIA1","DIA2","DIED","PN2a","Date_PN1a","Date_PN2a"
"25",27,431612,"LIDO","MAD",1,25.15,40.5,15:00:00,"6/12/2025","6/13/2025",16:09:00,6.1,13,15,2,2025-08-16,"RES6X100",2025-08-21,"EXCE-1.5CC",2025-09-22,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,64,5,32,69,101,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-16,2025-09-22
"26",9,431613,"LIDO","MAD",1,22.3,43.2,15:25:00,"6/12/2025","6/13/2025",13:43:00,6.9,11,12,1,2025-07-31,"RES6X100",2025-08-06,"RES6X100",2025-09-16,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,48,6,41,54,95,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-07-31,2025-09-16
"27",4,431616,"LIDO","MAD",1,21.37,45,15:30:00,"6/12/2025","6/13/2025",12:52:00,6.7,10,12,2,2025-07-03,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,20,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,2025-07-03,NA
"28",7,431618,"BO","MAD",1,21.7,46.4,15:35:00,"6/12/2025","6/13/2025",13:17:00,6.5,13,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"29",16,431620,"LIDO","MAD",1,22.63,38.2,16:10:00,"6/12/2025","6/13/2025",14:48:00,6.8,12,13,1,2025-08-15,"RES6X100",2025-08-20,"EXCE-1.5CC",2025-10-06,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,63,5,47,68,115,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-15,2025-10-06
"30",22,431621,"LIDO","MAD",1,23.28,47.7,16:20:00,"6/12/2025","6/13/2025",15:37:00,6.5,13,10,-3,2025-09-20,"RES6X100",2025-09-28,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,99,8,NA,107,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,2025-09-20,2025-09-28
"31",24,431622,"BO","MAD",1,22.33,58.2,17:30:00,"6/12/2025","6/13/2025",15:50:00,6.3,14,44,30,2025-09-29,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,108,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,2025-09-29,NA
"32",18,431631,"B+N","MAD",1,19.78,42.3,19:11:00,"6/12/2025","6/13/2025",14:58:00,6.4,12,46,34,NA,NA,NA,NA,NA,NA,2025-06-14,"BISMUSOL ORAL",2025-06-15,"BISMUSOL ORAL",NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,NA,NA,NA,NA,NA,1,2,1,NA,0,0,0,1,1,0,0,NA,NA
"33",6,431633,"BO","MAD",1,17.98,46.8,19:10:00,"6/12/2025","6/13/2025",13:09:00,6.6,15,13,-2,2025-08-11,"RES6X100",2025-08-16,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,59,5,NA,64,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,2025-08-11,NA
"34",13,431635,"B+N","MAD",1,18.95,48.6,19:21:00,"6/12/2025","6/13/2025",14:18:00,6.7,12,13,1,2025-09-28,"RES6X100",2025-10-10,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,107,12,NA,119,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,2025-09-28,2025-10-10
